sentence	label
@justacoolcat I just texted you. Now I'm going to sleep-not ignoring	0
Incredible. RT @Buster_ESPN: The Red Sox have an agreement with Justin Masterson.	0
new shoes. kinda in love with an inanimate object. http://t.co/JRqIc9QyMk	0
#pick #up #linez  to use|Boy:When u smile its like the sun|Girl:Awe|Boy:because ur teeth are so yellow|;)	0
Follow> @idealmusicmgt and get your FREE DEMO of their industry buzzing app seen at http://t.co/5GKFlBKr40	0
Why I love penguins of Madagascar  #humor #reliefcomedy	0
Rocking the Christmas socks at work. It's the little things like this that make me happy. #essentialservice :father_christmas::christmas_tree: http://t.co/E5jqetthIt	0
@snake_moore You're slipping back into hate figure territory	0
I have to say... I'm really excited about Brendan Fraser's birthday tomorrow. #BrendanFraserBirthdayBash	0
@SheikhLarki try Naheed akhtar & nayyara noor too. gOLD stash.	0
Going to sleep, hope #sydneysiege is sorted out in the morning	0
@talkhoops Pierce had 34. What's wrong with 36?	0
Lighting now setup on the #Malawi #Aquarium... Water tomorrow! #Cichlids #NoFilter #MarineWhite http://t.co/7VWnRNzgCk	0
#CDC:  #Enough #Patients #Getting #Flu #Shots #This #Year: (HealthDay News) – Fewer than half of Americans have... http://t.co/dJAYXiFFQA	0
@vincent_h3 At 2:30am? Who's gonna favourite it? An owl?	0
Tiger Woods Is Now Hero Group's Global Brand Ambassador #brand #buzzfeed |Read Story:|http://t.co/ImJof1p8E5	0
#LOL with all due #Respect to #KobeBryant .. he is  #MJ ^_^ but damn near #Close !! #Legends http://t.co/Z3gOXbVyIN	0
@TargetZonePT :pouting_face: no he bloody isn't I was upstairs getting changed !	0
@dbrauer #GoodMorning! @FromTheBarn @Jontevlin @plattMSP @mplsgilyard	0
I guess I'm dreaming. How else am I able to visit this site. Guess they won't let a prisoner have a phone right?	0
@MikeIsler Thank you! I think i filled it out correctly	0
Love ya Jerry, but what the heck was that?	0
@JakePlank24 do you not work at the dirty bird no more?	0
Seriously tho if you need me anytime over winter break just shoot me a text. Probably won't respond cuz I'll most likely be eating, but hey	0
go subscribe @BoutItMen on youtube https://t.co/w0lhyDAexl for good music	0
You know you love an author when you figure out how a book ends long before it does but can't wait to see how the author actually ends it	0
Need to get back in to college..  #feeling #this	0
@CommSec Home page at 8:30am shows Dow -51.44 but it's +102.75. Can you make your home page stats more real-time pls? http://t.co/2qTC5AKxNf	0
Kyle it won't let me @ you? But yeah, we are grown ass men with fast cars. Who gives af lol. And bring it to my room hooah? See ya in a bit.	0
