sentence	label
makes a joke out of car chases for an hour and then gives us half an hour of car chases .	0
so mind-numbingly awful that you hope britney wo n't do it one more time , as far as movies are concerned .	0
maid in manhattan proves that it 's easier to change the sheets than to change hackneyed concepts when it comes to dreaming up romantic comedies .	0
if you go , pack your knitting needles .	0
time of favor could have given audiences the time of day by concentrating on the elements of a revealing alienation among a culture of people who sadly are at hostile odds with one another through recklessness and retaliation .	0
two-bit potboiler .	0
it 's tommy 's job to clean the peep booths surrounding her , and after viewing this one , you 'll feel like mopping up , too .	0
it 's so badly made on every level that i 'm actually having a hard time believing people were paid to make it .	0
does n't get the job done , running off the limited chemistry created by ralph fiennes and jennifer lopez .	0
woefully pretentious .	0
the sequel plays out like a flimsy excuse to give blade fans another look at wesley snipes ' iconic hero doing battle with dozens of bad guys -- at once .	0
one of those films where the characters inhabit that special annex of hell where adults behave like kids , children behave like adults and everyone screams at the top of their lungs no matter what the situation .	0
hart 's war seems to want to be a character study , but apparently ca n't quite decide which character .	0
shows that jackie chan is getting older , and that 's something i would rather live in denial about	0
we have poignancy jostling against farce , thoughtful dialogue elbowed aside by one-liners , and a visual style that incorporates rotoscope animation for no apparent reason except , maybe , that it looks neat .	0
viewers will need all the luck they can muster just figuring out who 's who in this pretentious mess .	0
this bond film goes off the beaten path , not necessarily for the better .	0
just a kiss is a just a waste .	0
been there done that .	0
it is that rare combination of bad writing , bad direction and bad acting -- the trifecta of badness .	0
represents the depths to which the girls-behaving-badly film has fallen .	0
ah-nuld 's action hero days might be over .	0
`` the adventures of pluto nash '' is a big time stinker .	0
it 's a mindless action flick with a twist -- far better suited to video-viewing than the multiplex .	0
... the kind of movie you see because the theater has air conditioning .	0
it all comes down to whether you can tolerate leon barlow .	0
why would anyone cast the magnificent jackie chan in a movie full of stunt doubles and special effects ?	0
no one can doubt the filmmakers ' motives , but the guys still feels counterproductive .	0
but the second half of the movie really goes downhill .	0
impostor ca n't think of a thing to do with these characters except have them run through dark tunnels , fight off various anonymous attackers , and evade elaborate surveillance technologies .	0
one of the most depressing movie-going experiences i can think of is to sit through about 90 minutes of a so-called ` comedy ' and not laugh once .	0
you can tell almost immediately that welcome to collinwood is n't going to jell .	0
... pray does n't have a passion for the material .	0
overly long and worshipful bio-doc .	0
solondz may well be the only one laughing at his own joke	0
nair just does n't have the necessary self-control to guide a loose , poorly structured film through the pitfalls of incoherence and redundancy .	0
brosnan 's finest non-bondish performance yet fails to overcome the film 's manipulative sentimentality and annoying stereotypes .	0
starts as a tart little lemon drop of a movie and ends up as a bitter pill .	0
-lrb- a -rrb- mess .	0
cold , pretentious , thoroughly dislikable study in sociopathy .	0
a brutally dry satire of middle american numbness .	0
elegantly crafted but emotionally cold , a puzzle whose intricate construction one can admire but is difficult to connect with on any deeper level .	0
like a soft drink that 's been sitting open too long : it 's too much syrup and not enough fizz .	0
even if you 're an elvis person , you wo n't find anything to get excited about on this dvd .	0
one of the most highly-praised disappointments i 've had the misfortune to watch in quite some time .	0
-lrb- i -rrb- t 's certainly laudable that the movie deals with hot-button issues in a comedic context , but barbershop is n't as funny as it should be .	0
this director 's cut -- which adds 51 minutes -- takes a great film and turns it into a mundane soap opera .	0
... pays tribute to heroes the way julia roberts hands out awards -- with phony humility barely camouflaging grotesque narcissism .	0
a chiller resolutely without chills .	0
the screenplay does too much meandering , norton has to recite bland police procedural details , fiennes wanders around in an attempt to seem weird and distanced , hopkins looks like a drag queen .	0
extremely well acted by the four primary actors , this is a seriously intended movie that is not easily forgotten .	1
it 's probably worth catching solely on its visual merits .	1
the film , while not exactly assured in its execution , is notable for its sheer audacity and openness .	1
smart and taut .	1
this fascinating experiment plays as more of a poetic than a strict reality , creating an intriguing species of artifice that gives the lady and the duke something of a theatrical air .	1
-lrb- reno -rrb- delivers a monologue that manages to incorporate both the horror and the absurdity of the situation in a well-balanced fashion .	1
in the end , the film is less the cheap thriller you 'd expect than it is a fairly revealing study of its two main characters -- damaged-goods people whose orbits will inevitably and dangerously collide .	1
interesting both as a historical study and as a tragic love story .	1
