	og_sentence	label	aug_sentence
0	@rrhhmmss @TimEchols1 @Penneeee I agree. You can see that from the videos and photos that were taken two hours after the shooting.	1	@rrhhmmss @TimEchols1 @Penneeee I agree. It's evident from the videos and photos captured two hours after the shooting.
1	Thanks bus. Thanks for telling me where I am. So helpful.	1	Thank you, bus. I appreciate you informing me of my location. Very helpful.
2	Always forget how good the F.E.A.R is by Ian Brown :headphone: #singingoutloud #TUNE	0	I always forget how fantastic Ian Brown's F.E.A.R is. Enjoying it with my headphones on. #singingoutloud #TUNE
3	Taking the bike through rainy and cold dark streets to the dentist. Yaaaay. #Somuchfun	1	I'm thrilled to be riding my bike through the rainy and cold dark streets to the dentist. #Somuchfun
4	It will be impossible for me to be late if I start to dress up right now. #studing #university #lazy	1	If I start getting dressed right now, there's no way I'll be late. #studing #university #lazy
5	@HeatherVHanson Oh funny. I saw that crowd! We were just there for dinner.	0	@HeatherVHanson Oh, that's amusing. I saw that crowd too! We happened to be there for dinner.
6	You can spit on a rose but it's still a rose.  #contempt    #mockery	0	Even if you choose to mock or show contempt towards a rose, it remains a rose. #contempt #mockery
7	@bbcstrictly There's a surprise.	1	@bbcstrictly Well, what a surprise!
8	Grace: this is my barf bag.|Me: why do you have a barf bag? |Grace: because sometimes when i see people i feel like vomiting.	0	Grace: This is my barf bag. | Me: Why do you have a barf bag? | Grace: Sometimes, when I see people, I feel like vomiting.
9	Me: So yall forced me to call in to keep my price the same? BH: *silence* Me: *where is google fiber* #ilovebrighthouse	1	Me: So you all pressured me to call in to maintain my current price? BH: <em>silence</em> Me: <em>Where is Google Fiber?</em> #ilovebrighthouse
10	Gotta love #EMC's latest feature on the VNX side.  http://t.co/tLA4ajIbAR	1	The latest feature on the VNX side from #EMC is truly impressive.
11	@DeformedCircus I try to imagine. it's confusing.	0	@DeformedCircus I attempt to envision, but it's perplexing.
12	@MyzzCryz she went from a faded orange mess to a dark brown with red streaks. I, of course, forgot to take pictures.	0	@MyzzCryz, she transformed from a faded orange mess to a dark brown with red streaks. Unfortunately, I forgot to take pictures.
13	@bombguy95: If You Re A Chelsea Fan. Its natural To Be Sentimental.. If You re An Arsenal Fan.. Its Natural To Be Stupid||Spelling?	1	@bombguy95: If you're a Chelsea fan, it's natural to be sentimental. If you're an Arsenal fan, it's natural to be foolish. Any spelling errors?
14	@ManUtdstholder @hunts9 You're  familiar with Matt Bubsy, #then.	0	@ManUtdstholder @hunts9 Are you familiar with Matt Bubsy, #then?
15	Taking the Christmas lights down in the swamp will be a blast.	1	It will be exciting to remove the Christmas lights in the swamp.
16	@greenacre11 get ready for another one on Saturday	1	@greenacre11, prepare yourself for another one on Saturday.
17	@RandBall gotta hand it to them, really. :clapping_hands_sign::clapping_hands_sign::clapping_hands_sign:	0	@RandBall, you have to give it to them, really. :clapping_hands_sign::clapping_hands_sign::clapping_hands_sign:
18	@lawsondath92 @GregorRoberts0n @coach_carts @Cressy_36 @tozer_ben Come on lads, you're fucking better than this shite you keep showing	0	@lawsondath92 @GregorRoberts0n @coach_carts @Cressy_36 @tozer_ben Come on, lads, you're much better than the poor performance you keep displaying.
19	Good morning all!||@LivingQWales @RightSurveyors @VTUK @JewelleryWeb @jbboats @shaunesden @cwconclub |http://t.co/nJ1iOYg5Ex	0	"Good morning, everyone! || @LivingQWales @RightSurveyors @VTUK @JewelleryWeb @jbboats @shaunesden @cwconclub | <a href=""http://t.co/nJ1iOYg5Ex"" target=""_new"">http://t.co/nJ1iOYg5Ex</a>"
20	@SUP3RFRUIT I think being gay is wrong, its like people chose to be gay just to piss off the magic old man that lives in the sky	1	@SUP3RFRUIT I believe that being gay is morally incorrect. It seems like people deliberately choose to be gay just to defy the imaginary higher being in the sky.
21	#Exclusive -- #Indonesia: #AirAsia #crash #probe #focuses on #timing of #request to #climb, #weather. http://t.co/drtIbijN6y via @reuters	0	"#Exclusive -- #Indonesia: #AirAsia #crash #probe focuses on investigating the timing of the request to climb and the weather. <a href=""http://t.co/drtIbijN6y"" target=""_new"">http://t.co/drtIbijN6y</a> via @reuters"
