	sentence	label
0	"The phrase ""we need to build a global society"" keeps popping up, but I personally long for the return of our ""American Society."" #tcot #EricGarner #Ferguson"	0
1	"It seems like everyone is talking about building a global society, but I genuinely miss the days when our focus was on our ""American Society."" #tcot #EricGarner #Ferguson"	0
2	"The idea of creating a global society is becoming more prevalent, but I have a strong desire to restore our ""American Society."" #tcot #EricGarner #Ferguson"	0
3	"Everywhere I turn, people are advocating for a global society, but I truly yearn for the restoration of our cherished ""American Society."" #tcot #EricGarner #Ferguson"	0
4	"The notion of constructing a global society is gaining momentum, but personally, I deeply miss the essence of our ""American Society."" #tcot #EricGarner #Ferguson"	0
5	"It seems like the idea of establishing a global society is taking hold, but I find myself longing for the revival of our beloved ""American Society."" #tcot #EricGarner #Ferguson"	0
6	"The concept of forging a global society is spreading, yet I hold a strong preference for reclaiming our distinct ""American Society."" #tcot #EricGarner #Ferguson"	0
7	"The call to build a global society is becoming more widespread, but my heart yearns for the revival of our unique ""American Society."" #tcot #EricGarner #Ferguson"	0
8	"The idea of forming a global society is gaining traction, but I personally feel a strong attachment to our cherished ""American Society."" #tcot #EricGarner #Ferguson"	0
9	"While the notion of constructing a global society is gaining attention, I remain nostalgic for the restoration of our original ""American Society."" #tcot #EricGarner #Ferguson"	0
10	"Check out this beautiful birthday lily painting dedicated to @laryssam27! :purple_heart: <a href=""http://t.co/IAzvrBec91"" target=""_new"">http://t.co/IAzvrBec91</a>"	0
11	"Take a look at this lovely lily painting created for @laryssam27's birthday! :purple_heart: <a href=""http://t.co/IAzvrBec91"" target=""_new"">http://t.co/IAzvrBec91</a>"	0
12	"Celebrating @laryssam27's birthday with this gorgeous painting of lilies! :purple_heart: <a href=""http://t.co/IAzvrBec91"" target=""_new"">http://t.co/IAzvrBec91</a>"	0
13	"Dedicated to @laryssam27 on her birthday, this stunning painting showcases lilies! :purple_heart: <a href=""http://t.co/IAzvrBec91"" target=""_new"">http://t.co/IAzvrBec91</a>"	0
14	"Sending birthday wishes to @laryssam27 with this incredible lily painting! :purple_heart: <a href=""http://t.co/IAzvrBec91"" target=""_new"">http://t.co/IAzvrBec91</a>"	0
15	"An exquisite lily painting created specially for @laryssam27's birthday! :purple_heart: <a href=""http://t.co/IAzvrBec91"" target=""_new"">http://t.co/IAzvrBec91</a>"	0
16	"Commemorating @laryssam27's birthday with this mesmerizing painting of lilies! :purple_heart: <a href=""http://t.co/IAzvrBec91"" target=""_new"">http://t.co/IAzvrBec91</a>"	0
17	"This enchanting lily painting is a birthday gift for @laryssam27! :purple_heart: <a href=""http://t.co/IAzvrBec91"" target=""_new"">http://t.co/IAzvrBec91</a>"	0
18	"Capturing the beauty of lilies, this painting is dedicated to @laryssam27 on her birthday! :purple_heart: <a href=""http://t.co/IAzvrBec91"" target=""_new"">http://t.co/IAzvrBec91</a>"	0
19	"Sending heartfelt birthday wishes to @laryssam27 along with this stunning lily painting! :purple_heart: <a href=""http://t.co/IAzvrBec91"" target=""_new"">http://t.co/IAzvrBec91</a>"	0
20	If I had the chance, I could have portrayed Bella Swan with more conviction.	0
21	I believe I could have brought a stronger portrayal to the character of Bella Swan.	0
22	My performance as Bella Swan would have been much more convincing.	0
23	I am confident that I could have delivered a more compelling portrayal of Bella Swan.	0
24	Given the opportunity, I would have embodied Bella Swan's character in a more convincing manner.	0
25	I feel that I could have portrayed Bella Swan with greater authenticity and believability.	0
26	I believe I had the potential to bring a more convincing interpretation to the role of Bella Swan.	0
27	I am certain that I could have presented a more convincing version of Bella Swan.	0
28	In my opinion, I could have portrayed Bella Swan in a more convincing and captivating way.	0
29	I believe I could have made Bella Swan a more convincing and memorable character.	0
30	During our typical office conversation, a coworker shared with me the heartbreaking story of her uncle being deceived and attacked with acid by Saddam Hussein's henchmen.	0
31	In the usual chit-chat at work, a colleague revealed a shocking incident involving her uncle who was tricked and targeted with acid by Saddam Hussein's gang.	0
32	Amidst our regular office banter, a coworker disclosed the tragic account of her uncle falling victim to Saddam Hussein's thugs, who deceived him and subjected him to acid attack.	0
33	As we engaged in our customary office talk, a colleague shared a distressing incident involving her uncle, who was duped and maliciously attacked with acid by Saddam Hussein's cronies.	0
34	In the midst of our everyday office conversation, a coworker revealed the harrowing ordeal her uncle endured when he was deceived and subjected to an acid attack by Saddam Hussein's thugs.	0
35	During our routine office banter, a colleague recounted the heart-wrenching story of her uncle being deceived and targeted with acid by Saddam Hussein's henchmen.	0
36	Among our typical office discussions, a coworker confided in me about her uncle's tragic experience of being duped and assaulted with acid by Saddam Hussein's gang.	0
37	As we engaged in our usual office banter, a colleague shared a disturbing incident involving her uncle, who fell victim to a deceitful act orchestrated by Saddam Hussein's thugs, resulting in an acid attack.	0
38	Amidst our regular office conversations, a coworker shared the shocking tale of her uncle being deceived and viciously attacked with acid by Saddam Hussein's henchmen.	0
39	In the course of our everyday office chatter, a colleague shared a deeply unsettling account of her uncle being duped and subjected to an acid attack by Saddam Hussein's thugs.	0
40	Delano is experiencing a power outage in certain areas. #blackout Let's remain positive and wish everyone a #HappyNewYear. #besafe #goodnight :white_smiling_face::party_popper:	0
41	In some parts of Delano, there's currently a power outage. Don't let it dampen your spirits! Wishing everyone a #HappyNewYear. Stay safe and have a good night! :white_smiling_face::party_popper:	0
42	Delano is currently facing a blackout in certain areas. However, that won't stop us from spreading positivity and wishing everyone a #HappyNewYear! Remember to stay safe and have a good night. :white_smiling_face::party_popper:	0
43	The power outage has hit Delano, causing a #blackout in specific locations. Nevertheless, let's keep the festive spirit alive and wish everyone a #HappyNewYear! Remember to stay safe and have a good night. :white_smiling_face::party_popper:	0
44	Delano is currently experiencing a power outage, resulting in a #blackout in some parts. Despite this, let's stay optimistic and wish everyone a #HappyNewYear! Stay safe and have a good night. :white_smiling_face::party_popper:	0
45	Due to a power failure, Delano is facing a #blackout in certain areas. Nonetheless, let's not lose sight of the joyous occasion and wish everyone a #HappyNewYear! Stay safe and have a good night. :white_smiling_face::party_popper:	0
46	Some parts of Delano are currently without power, causing a #blackout. However, let's keep the positive vibes going and wish everyone a #HappyNewYear! Stay safe and have a good night. :white_smiling_face::party_popper:	0
47	Delano is in the midst of a power outage, resulting in a #blackout in specific locations. Despite this, let's maintain a joyful spirit and wish everyone a #HappyNewYear! Remember to stay safe and have a good night. :white_smiling_face::party_popper:	0
48	The power has gone out in Delano, leading to a #blackout in some parts. Nevertheless, let's keep the New Year's spirit alive and wish everyone a #HappyNewYear! Stay safe and have a good night. :white_smiling_face::party_popper:	0
49	In certain areas of Delano, there is currently a power outage causing a #blackout. But don't let that dampen the celebrations! Wishing everyone a #HappyNewYear. Remember to stay safe and have a good night. :white_smiling_face::party_popper:	0
50	"Check out these girls who can totally rock this! #PrincipalSwag <a href=""http://t.co/5eCiip7D3j"" target=""_new"">http://t.co/5eCiip7D3j</a>"	1
51	"These girls have got the skills to rock this like no other! #PrincipalSwag <a href=""http://t.co/5eCiip7D3j"" target=""_new"">http://t.co/5eCiip7D3j</a>"	1
52	"Witness these amazing girls who know how to rock this with style! #PrincipalSwag <a href=""http://t.co/5eCiip7D3j"" target=""_new"">http://t.co/5eCiip7D3j</a>"	1
53	"Look at these talented girls who can absolutely rock this like pros! #PrincipalSwag <a href=""http://t.co/5eCiip7D3j"" target=""_new"">http://t.co/5eCiip7D3j</a>"	1
54	"These girls have the confidence and skills to rock this like nobody else! #PrincipalSwag <a href=""http://t.co/5eCiip7D3j"" target=""_new"">http://t.co/5eCiip7D3j</a>"	1
