	og_sentence	label	aug_sentence
0	One more reason not to shop at #Walmart. They make you feel you're not in America!  #shopping #Islam #tcot ~ http://t.co/tvOu9XoN4z	2	Another reason to avoid shopping at Walmart is the sense of being outside of America that they give you.
1	Marked as to-read: Becassine Pendant La Grande Guerre by Caumery https://t.co/4GCuVYuXox	0	Added to my reading list: Becassine Pendant La Grande Guerre by Caumery.
2	@TheNewDeal @onetoo Damn socialist!	1	Damn socialist, criticizing @TheNewDeal and @onetoo!
3	#succes #it #is  #about #what #we #see #if #we just #keep #hope #and #never #give #up #success #is... http://t.co/bCjdQqzo1k	0	Success is not only about what we see, but also about maintaining hope and perseverance. #success #hope #nevergiveup
4	Has @CNN @donlemon shown up to speak with #ZemirBegic family yet?	0	Has @CNN and @donlemon arrived to speak with the family of #ZemirBegic yet?
5	Awesome rainy day at the track!!  http://t.co/inZFxQcjGU	1	It's been an amazing rainy day at the track!
6	The UofL student ticket policy is such a well thought out plan, good job SGA.  #ihateyou	1	Kudos to the SGA for developing a well-planned student ticket policy at UofL. #ihateyou
7	Being on #socialmedia is already pretty good, but they also master  of irony... Do we tell them? http://t.co/DSuNUQlTyW	0	Being on #socialmedia is already enjoyable, but their mastery of irony is exceptional. Should we inform them?
8	"@jodalatour @FoxNews Would you have said in the 1800s, ""Why is GOP against Africans being brought here? Do any of them want to pick cotton?"""	0	@jodalatour and @FoxNews, would you have questioned the GOP's stance on bringing Africans here in the 1800s? Would any of them have been willing to pick cotton?
9	Cheap and expensive  http://t.co/jbZtYeu7AV	2	Contrasting prices: affordable versus expensive.
10	Baking bread and hanging with a glass of wine in leggings and a sweatshirt with football on. HEAVEN! If only the snow hadn't turned to rain.	0	It would be perfect if the snow didn't turn into rain, but baking bread, relaxing with a glass of wine in comfortable clothes, and watching football is heaven to me.
11	OMG YES. 7:30 FINALS ON A FRIDAY ARE MY FAVORITE. :smiling_face_with_heart-shaped_eyes::heavy_black_heart:️:information_desk_person:	1	I'm so excited! Finals at 7:30 on a Friday are my absolute favorite! 😍🖤💁
12	@winelibrarian happy to be of some small service ;) @Case4Cleveland @brad4word	0	@winelibrarian, I'm glad I could provide some small assistance. @Case4Cleveland @brad4word
13	The last time I'll get up at 6:30am I'll miss this	1	This is the last time I'll have to wake up at 6:30 am, and I'll miss this routine.
14	With no forwards. #confused  sure	0	I'm confused because there are no forwards in the game.
15	Stop being the fan. And be the person blowing minds.	3	Instead of being just a fan, try being the person who amazes others.
16	@itssocakey you cant score goals sitting on the bench or 15/20 min max its hard pal fill sorry for him	0	@itssocakey, you can't score goals while sitting on the bench or with limited playing time. I feel sorry for him.
17	"#LeBron #James: '#Violence #is  #the #answer': LeBron James said Thursday that ""violence is not the answer and... http://t.co/GPz3D9TIUV"	0	"#LeBron #James: '#Violence #is #the #answer': LeBron James expressed on Thursday that ""violence is not the answer and..."""
18	Extending trade and not telling the people about the extended trade. Best idea ever!	1	It's a brilliant idea to extend trade without informing the public!
19	So nice to have a final before the sun is even up :smiling_face_with_smiling_eyes:	1	It's wonderful to have a final exam before the sun even rises. 😊
20	wow I love how frizzy my hair gets	1	I really enjoy how my hair becomes frizzy.
21	Sunset for January 04, 2015 at 04:39PM! Temperatures: 6℃. It's Partly Cloudy.	0	The sunset on January 4, 2015, is at 4:39 PM with temperatures of 6℃. It's partly cloudy.
22	Be Blessed friends. Merry Christmas to all!	0	Wishing blessings to all my friends. Merry Christmas!
23	http://t.co/ujGpP2LgaL #AnalQueenAlysa #Four Four girls, a lot of drinks and a few strap-on&#8230; that&#8217;s&#8230;	0	A link is provided, featuring the hashtag #AnalQueenAlysa, with four girls, plenty of drinks, and the use of strap-ons.
24	Mirror mirror on the wall, when will I find happiness?	0	Oh mirror on the wall, when will I discover happiness?
25	@rrhhmmss @TimEchols1 @Penneeee I agree. You can see that from the videos and photos that were taken two hours after the shooting.	3	I agree with @rrhhmmss, @TimEchols1, and @Penneeee. You can clearly see that from the videos and photos taken two hours after the shooting.
26	"@leyawn @Popehat ""I encourage you... to educated yourself"""	3	@leyawn and @Popehat, I encourage you to educate yourselves.
27	Jim's cookies won, Nikki's killed, but everyone needs to go to @Zelomn to enjoy @Ben_Spangler's amazing pastries! http://t.co/LCYax4wPc2	0	Jim's cookies were victorious, Nikki's were exceptional, but for amazing pastries, everyone should visit @Zelomn, courtesy of @Ben_Spangler.
28	@salgovernale No clue what you were talking about? Well that's a first!	1	@salgovernale, it's unusual for me to have no idea what you were talking about. That's a first!
29	@amyengineer @daverdfw you drive a ferrari, right? you being a beautiful clever woman?	0	@amyengineer and @daverdfw, I assume you drive a Ferrari, right? You being a beautiful and clever woman?
30	Sending best wishes to all my coworkers at the 9AM this morning	1	I want to send my best wishes to all my coworkers at the 9 AM meeting this morning.
31	Lol, who throws middle fingers up in pictures anymore? Oh, you're bad.	1	Who even throws up middle fingers in pictures anymore? Wow, you're rebellious.
