sentence	label
@rrhhmmss @TimEchols1 @Penneeee I agree. You can see that from the videos and photos that were taken two hours after the shooting. 	1
Thanks bus. Thanks for telling me where I am. So helpful.  	1
Always forget how good the F.E.A.R is by Ian Brown :headphone: #singingoutloud #TUNE	0
Taking the bike through rainy and cold dark streets to the dentist. Yaaaay. #Somuchfun 	1
It will be impossible for me to be late if I start to dress up right now. #studing #university #lazy 	1
@HeatherVHanson Oh funny. I saw that crowd! We were just there for dinner.	0
You can spit on a rose but it's still a rose.  #contempt    #mockery	0
@bbcstrictly There's a surprise. 	1
Grace: this is my barf bag.|Me: why do you have a barf bag? |Grace: because sometimes when i see people i feel like vomiting.	0
Me: So yall forced me to call in to keep my price the same? BH: *silence* Me: *where is google fiber* #ilovebrighthouse 	1
Gotta love #EMC's latest feature on the VNX side.  http://t.co/tLA4ajIbAR	1
@DeformedCircus I try to imagine. it's confusing.	0
@MyzzCryz she went from a faded orange mess to a dark brown with red streaks. I, of course, forgot to take pictures.	0
@bombguy95: If You Re A Chelsea Fan. Its natural To Be Sentimental.. If You re An Arsenal Fan.. Its Natural To Be Stupid||Spelling? 	1
@ManUtdstholder @hunts9 You're  familiar with Matt Bubsy, #then.	0
Taking the Christmas lights down in the swamp will be a blast. 	1
@greenacre11 get ready for another one on Saturday 	1
@RandBall gotta hand it to them, really. :clapping_hands_sign::clapping_hands_sign::clapping_hands_sign:	0
@lawsondath92 @GregorRoberts0n @coach_carts @Cressy_36 @tozer_ben Come on lads, you're fucking better than this shite you keep showing	0
Good morning all!||@LivingQWales @RightSurveyors @VTUK @JewelleryWeb @jbboats @shaunesden @cwconclub |http://t.co/nJ1iOYg5Ex	0
@SUP3RFRUIT I think being gay is wrong, its like people chose to be gay just to piss off the magic old man that lives in the sky 	1
#Exclusive -- #Indonesia: #AirAsia #crash #probe #focuses on #timing of #request to #climb, #weather. http://t.co/drtIbijN6y via @reuters	0
White people are irrelevant at this point. The black community needs to rise ABOVE y'all are in control!!!!!! #truth	1
Smh never knew something could be 80% halal....Been muslim my whole life but somehow i've learned something new i guess 	1
Double dance with the boys is what makes a Monday worthwhile 	1
"I love getting woken up by my body just to say ""I know you were comfortable sleeping.. But here's something you don't want anyway"" "	1
#America #continues to show us that it is  here for #BlackPeople even though http://t.co/plj8KgPsbu	0
Yet another angry #Bluehand moron blocks me after just one tweet :-p https://t.co/sdK34lzWrd 	1
@Jude_Mugabi is it squirt or squat?	0
@HeyAmie @brad4word I have no idea why Brad would be in the doghouse...	0
Happy stfx day! Lost my #Xring in '12. It was found 2 mo's later glistening on the 18th green of Lost Creek Golf Club. #xringmiracle 	1
So lakeside was like 7million scavengers  all in 1place #hadfun  #neverboxingdayshoppingagain	1
@117_Wolf @TheNelsconey @kenjitillman @OriginalSlumdog @TruthInsider @UE_Gaming @JVB @Danielsmile 9 Followers and now he's relevant? 	1
I may need to reread the books but did we ever find out what Draco's Boggart was? @jk_rowling #HarryPotter #dracomalfoy	0
"@DEvanAltman Instead of playing the pompous ""do you know who I am card?"" , how about you actually make an educated rebuttal?"	0
