sentence	label
One more reason not to shop at #Walmart. They make you feel you're not in America!  #shopping #Islam #tcot ~ http://t.co/tvOu9XoN4z	2
Marked as to-read: Becassine Pendant La Grande Guerre by Caumery https://t.co/4GCuVYuXox	0
@TheNewDeal @onetoo Damn socialist! 	1
#succes #it #is  #about #what #we #see #if #we just #keep #hope #and #never #give #up #success #is... http://t.co/bCjdQqzo1k	0
Has @CNN @donlemon shown up to speak with #ZemirBegic family yet?	0
Awesome rainy day at the track!!  http://t.co/inZFxQcjGU	1
The UofL student ticket policy is such a well thought out plan, good job SGA.  #ihateyou	1
Being on #socialmedia is already pretty good, but they also master  of irony... Do we tell them? http://t.co/DSuNUQlTyW	0
"@jodalatour @FoxNews Would you have said in the 1800s, ""Why is GOP against Africans being brought here? Do any of them want to pick cotton?"""	0
Cheap and expensive  http://t.co/jbZtYeu7AV	2
Baking bread and hanging with a glass of wine in leggings and a sweatshirt with football on. HEAVEN! If only the snow hadn't turned to rain.	0
OMG YES. 7:30 FINALS ON A FRIDAY ARE MY FAVORITE. :smiling_face_with_heart-shaped_eyes::heavy_black_heart:️:information_desk_person: 	1
@winelibrarian happy to be of some small service ;) @Case4Cleveland @brad4word	0
The last time I'll get up at 6:30am I'll miss this 	1
With no forwards. #confused  sure	0
Stop being the fan. And be the person blowing minds. 	3
@itssocakey you cant score goals sitting on the bench or 15/20 min max its hard pal fill sorry for him	0
"#LeBron #James: '#Violence #is  #the #answer': LeBron James said Thursday that ""violence is not the answer and... http://t.co/GPz3D9TIUV"	0
Extending trade and not telling the people about the extended trade. Best idea ever! 	1
So nice to have a final before the sun is even up :smiling_face_with_smiling_eyes: 	1
wow I love how frizzy my hair gets 	1
Sunset for January 04, 2015 at 04:39PM! Temperatures: 6℃. It's Partly Cloudy.	0
Be Blessed friends. Merry Christmas to all!	0
http://t.co/ujGpP2LgaL #AnalQueenAlysa #Four Four girls, a lot of drinks and a few strap-on&#8230; that&#8217;s&#8230;	0
Mirror mirror on the wall, when will I find happiness?	0
@rrhhmmss @TimEchols1 @Penneeee I agree. You can see that from the videos and photos that were taken two hours after the shooting. 	3
"@leyawn @Popehat ""I encourage you... to educated yourself"" "	3
Jim's cookies won, Nikki's killed, but everyone needs to go to @Zelomn to enjoy @Ben_Spangler's amazing pastries! http://t.co/LCYax4wPc2	0
@salgovernale No clue what you were talking about? Well that's a first! 	1
@amyengineer @daverdfw you drive a ferrari, right? you being a beautiful clever woman?	0
Sending best wishes to all my coworkers at the 9AM this morning 	1
Lol, who throws middle fingers up in pictures anymore? Oh, you're bad. 	1
67 is such a beauty :unamused_face:  #manitibaprobs	1
@alewnes7 he def came out the closet on that AND 1 dunk #rudygay	0
@madrabdgg MK1 Shadow Shift was so much fun.  @feltomgon	1
It's been one year of off and on eye twitching. #SoFun 	1
Platoon strategy ain't so bad. I mean we are a 7 line army.  #mets	1
I dont understand tlist as I dont read inamorata I only read inamorato lmao #sorry or prob  lol	0
"@jaymohr37  #PSA Hey Jay, I tuned in when u said ""why all the cocaine talk today....after tweeting coke joke saw it's Escobar's 65th "	2
My favorite color is every color.	0
I think the new sweater I bought is a maternity sweater. Oh well. Its super cozy	0
SHAME ON JACKSONVILLE #JAGS AND #SHADKHAN. http://t.co/XyOZLexZnU -Do you think that #Police phobic #stooges l... http://t.co/B4yDmPoPmX	0
To all u #deadbeatdads ur not worth a hair on our #kids heads.. Tough being a #singlemom but at least my #beautiful #daughter is loved by Me	0
Xmas on the blog feat intimissimiofficial and @tweetcalzedonia * Read our story and share the LOVE... http://t.co/vp4rrfyr2K	0
@UKLabour ||How dare @David_Cameron not pass legislation to force people to catch buses on those routes. Should be a life in jail.||	1
@knotaprettygirl man, there is too much  in this tweet.	0
Gripping new ebook not for the fainthearted or politically correct. Please visit site https://t.co/R99TXDaEt2	0
#Hunger #has  #vanished #from #our #affluent, even #overweight, #society –  http://t.co/7AqtTD2xYN	0
Not everyone will understand you. That's life.|#goodnight|#gatecrasher http://t.co/Xjqr57TEXS	0
Religion is unfounded, else, Allah would have saved the kids. . @tariqmushtaqkh @nicpradhan #PeshawarAttack #PakSchoolSiege	2
I'm seeing #catfish while I search for a #fishsitter for my #goldfish, #LoveLife 	2
Can't wait until this weekend is over...then no more Xmas parties!!!!!! #HateSchmoozing	0
My dorm is actually really creepy when I'm the only one in it... :confounded_face:	0
@DianeKingShow looking great today Diane, it's not fair you're not on more.  enough Diane	1
And people start to drink ... Means fun 	1
Reading the Dundee United chairmanship statement tonight and you have to say what a lot of tosh..care of young players indeed 	3
"Same as what Whoopi said about rape of 13 yo by Roman Polanski. Not ""rape rape"" b/c she was drugged. http://t.co/q0a0PWMghK via @JustJared"	0
@Suuism why? university always helping 	1
#Repost hernanpuentes with repostapp :black_rightwards_arrow:️:soon_with_rightwards_arrow_above::camera: #ComingSoon #LoveIt #LoveU ・・・⁰PERFECTION..... Filter... http://t.co/foiEg1RSOB	0
#pick #up #linez  to use|Boy:When u smile its like the sun|Girl:Awe|Boy:because ur teeth are so yellow|;)	0
Ugly Christmas Sweater  ;** #uglychristmassweaters #happyholidays #merrychristmas #kissesandhugs... http://t.co/p3fcp6Corx	0
I'm officially on Twitter!### sure what to do after all these pound signs?!?!	0
"@NintendoAmerica wait...there's a ""New Wii U""? "	3
"Being publicly called a ""heartless arsehole"" for going about my day as usual. "	3
#take#a#deep#breath#it's#just#a#bad#day#a#bad#life http://t.co/YmnLzTNkpy	0
@TroyRenck Why? He has draft pick compensation tied to his name and is only six months younger.	0
Well, weekend is over!|Now it's #TwitterTime again :D|Have a nice monday!|	1
So fucking excited to be the 5th wheel for another New Year's Eve!!!! Can't blame anybody but myself for being super picky re: men 	1
@corporateknight don't know how#Monsanto # among 100 most sustainable Cos in the world sure all parameters are measured#net positive?	0
oh, and lets not forget this @RBRNetwork1 @HotNostrilsrFun @Graves9 @OrionSLU @directRhythm http://t.co/9LQkpAHsNj	0
@iwannawant2 @billisFPS yeah this happens to me every time I want to like a video :(	0
http://t.co/QLzEP7GbWJ #FLOOD OF #NOAH #HovindTheory #ICEAGE #Bible #Church #Christians #Jews #tcot #... http://t.co/VKqZgYGo2O	0
Drudgery personified #commuterprobs #northernline #tfl http://t.co/saDbKdqISx	0
@EthanSnaps Just what the Bears need... A sense of urgency at QB position, using top pick at QB position 	1
Christmas is less than a week away wtaf	0
American Kids starting playing and now I'm super missing #summer2k14 #kennychesney	0
@TheFollowingFOX I get paid 4 posting stuff like this on TSU! ||YOU CAN TOO! go to http://t.co/JUmMWi0AyT||#FOLLOW #FOLLOWBACK	0
@doforsarawak it's a 	0
2a TL shows Lester's 6/$155m deal's a hit Boston - Wish all announcements were made when parties involved least coherent #Notsarcasm	1
way to prove that women are more than just breasts & an ass...  :unamused_face:	1
Small amount of lads with birds nests' for hair cuts  #ha #3allover	3
Can't wait for my 7:30am #dental appointment tomorrow!|Oh time please speed through today! !	1
@Redsaint76 I don't think. I know!	0
@carlyaquilino:  weird http://t.co/ApFZyGEtVr @gampnasty	0
